2025-04-10 12:11:21,485 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.3 (tags/v3.13.3:6280bb5, Apr  8 2025, 14:47:33) [MSC v.1943 64 bit (AMD64)]
2025-04-10 12:11:21,486 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-10 12:11:21,486 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-10 12:11:21,486 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-10 12:11:21,486 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-10 12:11:21,487 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-10 12:11:21,487 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-10 12:11:28,977 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-10 12:11:29,552 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-10 12:11:30,028 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-10 12:11:30,500 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-10 12:11:30,857 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-10 12:11:31,753 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Ground Truth
2025-04-10 12:11:32,363 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Belief
2025-04-10 12:11:33,004 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Map
2025-04-10 12:11:33,673 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Distribution
2025-04-10 12:13:21,064 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:13:47,815 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:13:48,491 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-10 12:13:49,141 | MainThread   | [DEBUG   ] | show_plot           |: Show Ground Truth
2025-04-10 12:13:50,138 | MainThread   | [DEBUG   ] | show_plot           |: Show Belief
2025-04-10 12:13:50,956 | MainThread   | [DEBUG   ] | show_plot           |: Show Map
2025-04-10 12:13:51,569 | MainThread   | [DEBUG   ] | show_plot           |: Show Distribution
2025-04-10 12:13:52,804 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:13:53,094 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:13:53,294 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:13:53,485 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:13:53,720 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:14:09,633 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:14:38,747 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.3 (tags/v3.13.3:6280bb5, Apr  8 2025, 14:47:33) [MSC v.1943 64 bit (AMD64)]
2025-04-10 12:14:38,748 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-10 12:14:38,748 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-10 12:14:38,748 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-10 12:14:38,748 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-10 12:14:38,748 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-10 12:14:38,748 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-10 12:14:45,059 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:16:17,188 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:19:40,527 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.3 (tags/v3.13.3:6280bb5, Apr  8 2025, 14:47:33) [MSC v.1943 64 bit (AMD64)]
2025-04-10 12:19:40,529 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2025-04-10 12:19:40,530 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2025-04-10 12:19:40,530 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2025-04-10 12:19:40,530 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2025-04-10 12:19:40,530 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2025-04-10 12:19:40,530 | MainThread   | [DEBUG   ] | run                 |: ------------------

2025-04-10 12:20:05,481 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:21:09,646 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:22:43,062 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:23:29,328 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-10 12:23:30,125 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-10 12:23:37,291 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:23:45,320 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:24:05,246 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:24:06,718 | MainThread   | [DEBUG   ] | hide_plot           |: Hide Odometry
2025-04-10 12:24:11,544 | MainThread   | [DEBUG   ] | show_plot           |: Show Odometry
2025-04-10 12:24:31,139 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:24:34,040 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:30:27,157 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:30:51,488 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:31:12,053 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:31:42,636 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:32:03,132 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:35:21,231 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:35:43,159 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:36:13,886 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:36:27,759 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:36:37,557 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:36:59,560 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:37:09,105 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:37:26,151 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:37:37,112 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:37:47,999 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:38:04,861 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:38:23,918 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2025-04-10 12:38:32,416 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
